,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benchmark/Metrics,Suite,Corner,$lut,ckbuf,dff,dffnrn,dffrn,num_cells,num_memories,num_memory_bits,num_port_bits,num_ports,num_processes,num_pub_wire_bits,num_pub_wires,num_wire_bits,num_wires,EMPTY,ckbuf,clb,critical_path,io_pi,io_pi_pdc_ecb1,io_po,io_po_cko,num_inputs,num_nets,num_outputs,packing_time,pcnt,placement_time,routing_time,total_wire_length
and2,checkin,tt_25C_v1p1,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,3.000000,3.000000,0.000000,3.000000,3.000000,3.000000,3.000000,0.000000000000,0.000000000000,1.000000000000,0.000000008986,2.000000000000,0.000000000000,1.000000000000,0.000000000000,2.000000000000,3.000000000000,1.000000000000,0.029999999329,0.000000000000,0.000000000000,0.009999999776,15.000000000000
and2_latch,checkin,tt_25C_v1p1,1.000000,0.000000,1.000000,0.000000,0.000000,2.000000,0.000000,0.000000,5.000000,5.000000,0.000000,5.000000,5.000000,5.000000,5.000000,0.000000000000,0.000000000000,1.000000000000,0.000000008426,3.000000000000,0.000000000000,2.000000000000,0.000000000000,3.000000000000,4.000000000000,3.000000000000,0.039999999106,0.000000000000,0.009999999776,0.000000000000,15.000000000000
and2_or2,checkin,tt_25C_v1p1,2.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,0.000000000000,0.000000000000,1.000000000000,0.000000007128,2.000000000000,0.000000000000,2.000000000000,0.000000000000,2.000000000000,4.000000000000,2.000000000000,0.029999999329,0.000000000000,0.000000000000,0.000000000000,14.000000000000
local_clk_test,checkin,tt_25C_v1p1,1.000000,1.000000,0.000000,1.000000,2.000000,5.000000,0.000000,0.000000,7.000000,7.000000,0.000000,9.000000,9.000000,9.000000,9.000000,0.000000000000,1.000000000000,1.000000000000,0.000000007336,4.000000000000,0.000000000000,3.000000000000,0.000000000000,4.000000000000,6.000000000000,9.000000000000,0.050000000745,0.000000000000,0.009999999776,0.009999999776,21.000000000000
